id	US-1421005	US-1421094	US-1421095	US-1420999	US-1421000	US-1421010	US-1421096	US-1421097	US-1421098	US-1421001	US-1421002	US-1421004
ENSG00000229280	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235054	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227169	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232596	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196581	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000277731	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231510	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000260972	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264341	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236948	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000216045	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264101	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131697	16	8	14	12	20	15	15	11	9	24	9	17
ENSG00000266687	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000069424	2	1	2	1	3	1	0	1	1	4	1	3
ENSG00000116254	1	1	0	0	0	0	1	0	0	0	1	0
ENSG00000116251	461.9999084	531.4038086	779.9454956	591	625	711	362	270.4283142	451.9950867	661.9978027	689	731.9848022
ENSG00000226944	0	0	0	1	2	0	1	1	0	1	0	0
ENSG00000158286	45	27	36	53	58	47	46	38	40	57	69.32209778	52
ENSG00000116237	189	196	399	302	310	278	174	122	174	384	371	428
ENSG00000225077	2	0	3	3	0	1	1	2	0	0	3	5
ENSG00000173673	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158292	248	218	290	187	164	143	245	183	168	183	183	221
ENSG00000097021	37	30	59	40	42	25	37	24	30	32	49	41
ENSG00000271746	0	1	0	0	0	0	0	0	0	1	1	3
ENSG00000069812	10	13	15	50	74	54	11	9	8	56	46	58
ENSG00000187017	142	110	211	132	161	151	120	92	105	191	155	172
ENSG00000265392	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231868	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215788	0	0	0	0	0	1	1	0	0	0	5	1
ENSG00000171680	13	4	4	6	8	6	2	2	4	2	6	1
ENSG00000162408	90	80	127	116	123	119	93	70	81	156	162	204
ENSG00000253022	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229519	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173662	0	0	0	0	0	0	0	0	1	0	0	3
ENSG00000204859	46	27	39	64	50	43	28	27	36	47	62	49
ENSG00000162413	185	150	252	228	201	134	176	118	170	256	254	273
ENSG00000116273	30	33	47	47	53	47	26	27	27	66	69	75
ENSG00000041988	14	20	34	37	38	28	31	14	20	45	38	41
ENSG00000007923	162	127	229	212	189	201	130	107	125	253	285	249
ENSG00000228750	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237436	0	1	1	0	0	0	0	0	0	0	0	0
ENSG00000171735	57	68	95	73	89	116	53	43	57	88	107	94
ENSG00000227950	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237365	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207056	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237402	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237728	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225126	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270171	0	0	1	0	0	0	0	0	0	1	0	0
ENSG00000270035	0	0	0	0	0	3	0	0	0	0	0	0
ENSG00000269978	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000049245	293	299	425	363	357	481	225	174	234	444	464	473
ENSG00000269925	0	1	0	2	0	1	2	1	2	3	1	2
ENSG00000049246	106	69	124	110	135	115	61	57	51	140	157	152
ENSG00000236266	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000049247	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000049249	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000270330	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116288	234	311	475	354	362	359	207	183	241	371	367	415
ENSG00000200344	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116285	918.9998779	949	1558.000122	1667	1502	1565.000122	658.0001221	598	728.0001221	1932	2127	2137
ENSG00000238290	0	2	0	0	0	4	0	0	0	0	0	0
ENSG00000232848	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000229305	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200975	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227634	0	0	1	1	1	1	0	1	1	1	1	0
ENSG00000233645	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251977	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162426	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000252254	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142599	136	90	158	162	181	180	123	89	104	174	211	185
ENSG00000232912	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000221083	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270282	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234619	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000224315	3	0	3	2	4	4	1	1	2	1	2	3
ENSG00000222511	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226545	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228423	0	1	0	0	0	1	0	0	0	2	2	1
ENSG00000229716	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000074800	2526.000244	2830.999756	4482	3205.999023	3172	2857.999756	2350	1861.998535	2457.999756	3691	3769	3654
ENSG00000274258	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236269	2	0	2	4	4	2	6	1	1	11	11	6
ENSG00000230679	0	0	0	0	0	1	0	1	0	2	2	0
ENSG00000201725	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238249	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000232208	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000232663	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131686	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000265141	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197241	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142583	1	1	2	2	0	0	0	1	0	1	1	2
ENSG00000252404	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000180758	27.20770073	51	70	73	48	48	42	38	31	87	78	83
ENSG00000207865	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228526	1	1	1	2	5	0	0	0	0	1	2	1
ENSG00000234546	1	1	1	2	2	2	0	0	0	2	2	1
ENSG00000049239	1146	1048	1510	1496	1375	1213	948	768	1029	1260	1328	1360
ENSG00000171621	213	260	455	397	456	403	224	181	258	499	473	469
ENSG00000252956	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235263	15	16	28	34	24	32	16	5	12	41	38	37
ENSG00000171612	463.2786865	500.8835144	780.5441284	530.6021118	508.2867126	657.6281738	348.7903137	294.2085876	367.428009	722.8745728	763.3397827	670.9553833
ENSG00000231181	15	3	6	8	16	12	11	4	5	11	19	19
ENSG00000188807	7	6	10	25	21	12	14	8	12	19	16	18
ENSG00000171608	5	0	5	4	6	5	0	3	1	5	7	5
ENSG00000179840	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233268	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231789	1	0	0	0	1	0	0	1	0	0	2	0
ENSG00000171603	15	7	11	17	17	19	5	8	7	19	21	16
ENSG00000271264	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178585	68	73	90	87	82	78	57	46	49	92	77	78
ENSG00000223989	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162441	80	85	164	125	130	159	70	51	64	138	176	176
